solver,model,data,end,desbalance,carga_por_operario,time_ms,nodes,failures,propagations
highs,jobshop_search_1,data00,32,1,"[29, 29, 28]",NA,1460,NA,NA
highs,jobshop_search_1,data01,55,0,"[54, 54]",NA,5203,NA,NA
highs,jobshop_search_1,data02,44,1,"[38, 37, 37]",NA,3675,NA,NA
highs,jobshop_search_1,data03,45,0,"[30, 30, 30, 30]",NA,1948,NA,NA
highs,jobshop_search_1,data04,64,4,"[61, 57]",NA,2574,NA,NA
highs,jobshop_search_1,data05,43,0,"[40, 40, 40]",NA,3302,NA,NA
highs,jobshop_search_1,data06,50,1,"[35, 35, 34, 34]",NA,2880,NA,NA
highs,jobshop_search_1,data07,88,0,"[81, 81]",NA,1514,NA,NA
highs,jobshop_search_1,data08,64,2,"[53, 51, 51]",NA,3146,NA,NA
highs,jobshop_search_1,data09,70,1,"[59, 58, 58]",NA,1193,NA,NA
highs,jobshop_search_1,data10,69,14,"[57, 44, 43, 43]",NA,976,NA,NA
